date,volume
2017-04-01,1184
2017-04-02,1412
2017-04-03,1552
2017-04-04,1385
2017-04-05,1527
2017-04-06,1365
2017-04-07,1297
2017-04-08,1112
2017-04-09,1346
2017-04-10,1932
2017-04-11,2274
2017-04-12,2473
2017-04-13,918
2017-04-14,1021
2017-04-15,945
2017-04-16,1272
2017-04-17,2275
2017-04-18,1592
2017-04-19,1460
2017-04-20,1405
2017-04-21,1303
2017-04-22,1489
2017-04-23,2498
2017-04-24,2231
2017-04-25,2438
2017-04-26,1532
2017-04-27,2038
2017-04-28,2236
2017-04-29,1655
2017-04-30,2789
2017-05-01,2860
2017-05-02,2397
2017-05-03,4065
2017-05-04,4164
2017-05-05,1639
2017-05-06,1170
2017-05-07,2340
2017-05-08,2147
2017-05-09,1717
2017-05-10,1645
2017-05-11,1538
2017-05-12,1794
2017-05-13,1472
2017-05-14,2008
2017-05-15,1761
2017-05-16,1545
2017-05-17,1762
2017-05-18,1323
2017-05-19,1571
2017-05-20,1408
2017-05-21,1968
2017-05-22,1878
2017-05-23,2022
2017-05-24,1940
2017-05-25,1937
2017-05-26,2047
2017-05-27,2258
2017-05-28,4208
2017-05-29,4209
2017-05-30,1981
2017-05-31,1713
2017-06-01,1363
2017-06-02,1243
2017-06-03,1356
2017-06-04,2373
2017-06-05,3884
2017-06-06,2004
2017-06-07,2110
2017-06-08,1646
2017-06-09,1595
2017-06-10,1123
2017-06-11,1878
2017-06-12,2484
2017-06-13,2168
2017-06-14,1960
2017-06-15,1392
2017-06-16,1576
2017-06-17,1162
2017-06-18,1475
2017-06-19,1724
2017-06-20,1806
2017-06-21,1651
2017-06-22,1860
2017-06-23,1778
2017-06-24,1651
2017-06-25,3308
2017-06-26,2513
2017-06-27,2269
2017-06-28,2859
2017-06-29,2392
2017-06-30,2018
2017-07-01,1837
2017-07-02,3241
2017-07-03,2660
2017-07-04,2510
2017-07-05,2214
2017-07-06,2032
2017-07-07,1986
2017-07-08,2161
2017-07-09,3611
2017-07-10,3907
2017-07-11,1565
2017-07-12,1783
2017-07-13,1310
2017-07-14,1311
2017-07-15,1023
2017-07-16,1858
2017-07-17,1569
2017-07-18,1437
2017-07-19,1692
2017-07-20,1594
2017-07-21,1409
